inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id,source_event_id
d00afbfe-989d-4ec8-bc4d-72d171fb4294,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,8,101,M,"7,8,9,10,11,12,13,14",,These are internal notes. @sec[101],These are M Row,,560.48,280.24,280.24,280.24,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
39c8130f-24e7-48ea-8157-6291caa1dd77,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,102,GG,"1,2",,These are internal notes. @sec[102],These are GG Row,,395.92,197.96,197.96,197.96,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
859e813f-a3a3-41f1-870a-256566f45c62,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,102,GG,"9,10",,These are internal notes. @sec[102],These are GG Row,,434.08,217.04,217.04,217.04,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
92dcea95-2561-4420-b8d4-e4fcf4365682,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,102,KK,"1,2",,These are internal notes. @sec[102],These are KK Row,,250.42,125.21000000000001,125.21000000000001,125.21000000000001,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
f02638e0-b67a-4e25-bafa-30fdb09c8a49,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,102,KK,"4,5",,These are internal notes. @sec[102],These are KK Row,,300.52,150.26,150.26,150.26,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
d7007320-1756-4505-b5f4-4002be2344cb,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,103,D,"1,2",,These are internal notes. @sec[103],These are D Row,,271.90,135.95,135.95,135.95,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
5ee54045-4294-4ddd-b255-a855ae73aa65,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,103,E,"17,18",,These are internal notes. @sec[103],These are E Row,,267.12,133.56,133.56,133.56,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
7d640c2c-fb2b-47f4-9907-924808ef5872,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,103,HH,"10,11",,These are internal notes. @sec[103],These are HH Row,,407.84,203.92000000000002,203.92000000000002,203.92000000000002,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
e728cd0e-b1a6-4ec1-9420-325e95ad3639,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,6,103,HH,"4,5,6,7,8,9",,These are internal notes. @sec[103],These are HH Row,,407.84,203.92000000000002,203.92000000000002,203.92000000000002,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
fa9f41ff-7b4b-46b8-a5c4-3fba9b382729,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,103,J,"13,14",,These are internal notes. @sec[103],These are J Row,,238.50,119.25,119.25,119.25,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
d5928cdc-81da-414b-93ba-daaa03fbe954,Dude Perfect Hero World Tour,"Bridgestone Arena, Nashville, TN",2025-08-03T18:00:00.000Z,,2,103,M,"14,15",,These are internal notes. @sec[103],These are M Row,,248.04,124.02,124.02,124.02,Y,N,2025-08-02,N,Y,NEVERLEAVEONE,,MOBILE_TRANSFER,N,,,,
